,type_of_renewable_energy,installed_capacity_mw,energy_production_mwh,energy_consumption_mwh,energy_storage_capacity_mwh,storage_efficiency_percentage,grid_integration_level,initial_investment_usd,funding_sources,financial_incentives_usd,ghg_emission_reduction_tco2e,air_pollution_reduction_index,jobs_created
1338,Solar,233.358451,236980.5017,406442.346,5699.752179,68.52614642,Minimal Integration,331439930.9,Public-Private Partnership,2682706.256,36638.11442,35.83899486,3814
1339,Geothermal,124.2616355,217637.5098,439379.2353,8289.642731,90.39898539,Minimal Integration,437411809.3,Government,14232700.41,49670.4366,72.31732459,730
1340,Tidal,538.24826,208314.1409,388160.6591,4123.32148,74.91630214,Partially Integrated,35875364.49,Private,12527816.79,13431.9235,45.80056362,1166
1341,Tidal,950.6974936,229178.5193,442840.9974,9141.72648,74.03975664,Fully Integrated,18112037.94,Government,3056064.784,13114.97521,92.07024777,115
1342,Tidal,567.9912173,117585.4925,244135.0094,6104.936665,57.82621453,Minimal Integration,184992115.6,Government,15559620.28,29120.89072,19.08463857,622
1343,Tidal,496.1889026,448360.9988,266910.8846,589.9010098,88.85940885,Partially Integrated,316711006.4,Government,18646791.1,9046.300194,44.2648563,1595
1344,Geothermal,881.5837701,97116.12041,192871.8635,9346.344624,86.76828752,Isolated Microgrid,125967654.3,Private,11241244.43,23995.21654,68.82834537,2901
1345,Hydroelectric,318.0342097,303109.2188,10893.97061,3503.847723,85.92211721,Minimal Integration,324658829.5,Private,15063254.56,13936.61722,75.87329464,2032
1346,Biomass,350.9824644,303903.5658,158058.0086,9784.915833,95.72336028,Fully Integrated,293770867.6,Private,9147760.81,42273.06152,56.10449303,4218
1347,Biomass,943.8472645,458787.5845,15615.90248,7365.729036,60.46583863,Partially Integrated,497141922.4,Government,17850947.04,32794.30712,84.30506691,2165
1348,Geothermal,516.2541593,86409.43058,273243.3705,322.2474297,97.93393251,Fully Integrated,218516911.7,Public-Private Partnership,13272583.44,805.7897892,12.78995766,1019
1349,Wind,225.1812165,33824.42972,421770.6139,8576.249339,83.4939013,Fully Integrated,400257235.7,Government,8864963.2,43393.08114,26.34305382,3206
1350,Tidal,365.6734992,487006.5302,221498.5289,6153.217662,62.5963509,Minimal Integration,307607275.6,Private,17928753.34,44983.39297,72.44425081,3335
1351,Wave,701.6021821,466300.5109,358730.3264,6281.349616,80.52392688,Fully Integrated,155069651.0,Public-Private Partnership,9370284.836,29517.96874,26.66226784,4740
1352,Wave,916.6548226,309904.1002,284708.4433,3092.842456,76.18390325,Fully Integrated,356292952.2,Public-Private Partnership,17495150.3,48522.2406,27.82170355,177
1353,Hydroelectric,741.2825337,270697.5564,124276.1724,5271.110561,71.24713308,Fully Integrated,278406419.2,Private,14492588.1,49256.8572,78.87937801,2600
1354,Wave,941.3461678,493149.063,272515.1267,128.9682687,57.88784651,Fully Integrated,479017350.5,Private,9241081.389,49931.18428,13.47053764,1514
1355,Geothermal,282.6421008,484627.6409,143358.6484,1755.162416,62.96281496,Partially Integrated,159099201.7,Government,11322611.51,14076.25763,70.98207005,2110
1356,Geothermal,745.8456941,201324.3886,26556.73913,3192.140586,58.15531243,Isolated Microgrid,417778757.2,Public-Private Partnership,3843890.172,42874.72945,67.96701915,3969
1357,Geothermal,568.0350241,482524.9364,193344.8084,1632.292151,89.82425981,Fully Integrated,481380967.8,Private,16236010.44,22155.68971,60.8687867,600
1358,Tidal,357.9717155,28452.7155,175107.8251,1829.131263,50.54687085,Minimal Integration,285983914.1,Private,7902465.329,18564.81922,69.74555239,377
1359,Tidal,242.1663829,245653.827,33038.77917,5715.128964,90.0708634,Minimal Integration,372641341.7,Public-Private Partnership,13823920.54,31136.60604,73.97776712,4414
1360,Geothermal,187.8252182,329016.1644,329105.6826,2751.930083,83.22201236,Partially Integrated,221198067.7,Government,10963555.33,34401.2917,68.78988029,1130
1361,Biomass,98.59877622,439667.8356,406692.3486,3431.243084,73.51585141,Isolated Microgrid,359267868.6,Government,435792.8124,1710.281075,2.765307452,3397
1362,Hydroelectric,491.9081495,278451.696,347057.1976,4383.146916,94.4761862,Partially Integrated,364433597.6,Private,17698894.79,17182.62206,10.8064491,2914
1363,Wind,848.3918213,168846.7517,87964.6644,3529.660455,70.59550536,Isolated Microgrid,338397566.8,Public-Private Partnership,5100901.255,27717.67263,37.31450591,243
1364,Wind,722.9252725,1319.254389,36671.58179,6481.70215,57.27113382,Minimal Integration,239514597.5,Private,5327864.393,40331.61702,10.62986392,3186
1365,Hydroelectric,560.8183034,24204.67668,139681.6861,8625.455981,80.88757878,Minimal Integration,372855348.9,Government,1371864.988,26651.73966,4.603258722,1818
1366,Wave,308.17319,117821.5891,287727.3568,8080.387912,69.16034513,Minimal Integration,23174993.62,Public-Private Partnership,4524260.442,37021.80301,89.05187621,141
1367,Solar,913.1780331,5438.254889,81596.20472,8793.541247,96.51611051,Isolated Microgrid,169060028.6,Private,4868226.829,13716.14193,82.12725231,4867
1368,Biomass,965.4386081,89272.39821,324715.1269,5055.431057,59.86860837,Fully Integrated,455335956.5,Private,15092986.88,18559.41233,52.18123209,1416
1369,Tidal,245.693666,401998.2451,95856.02375,6474.000431,93.95965961,Partially Integrated,139276518.6,Government,17106525.53,15585.27317,6.782262098,2472
1370,Wave,328.9138526,105907.2401,403431.2685,9119.528094,62.88694589,Partially Integrated,84982079.93,Government,4381840.221,16433.13461,20.86904998,3001
1371,Wave,512.777597,473730.9056,33729.98241,3923.801778,62.28605914,Fully Integrated,201303494.8,Private,14080227.95,49520.99616,38.81684294,3076
1372,Wave,927.5222558,184770.0653,93205.44805,4356.047046,74.86041823,Isolated Microgrid,318604632.0,Private,6382826.521,39191.2634,71.753186,15
1373,Wave,666.7756876,339136.4606,439377.391,8247.092997,83.96230194,Isolated Microgrid,367180250.1,Government,19286654.84,40987.61263,49.18810353,2558
1374,Solar,175.4648342,69429.51948,416434.3953,9380.297443,85.64269067,Partially Integrated,72747187.29,Private,15887707.59,16405.61569,69.19903746,140
1375,Wind,544.2774522,85610.79379,249047.4323,8878.561818,74.46851295,Fully Integrated,345637943.6,Public-Private Partnership,9737781.506,41500.13631,32.7804585,3772
1376,Geothermal,941.3976144,49921.58566,82383.75045,6850.878237,51.66581627,Fully Integrated,95712086.17,Government,16856916.5,19610.35083,14.13042568,4481
1377,Tidal,459.9102703,115079.24,180731.4622,6796.895766,77.58468774,Minimal Integration,319678572.8,Private,10378929.13,34160.12865,94.30998998,2222
1378,Geothermal,377.8451773,472435.9952,69434.80616,6142.587397,94.16329753,Partially Integrated,420462456.8,Public-Private Partnership,7691469.118,46077.79404,93.80028677,377
1379,Hydroelectric,603.9660722,215121.4963,219937.7123,9448.7043,98.89096757,Partially Integrated,101391494.7,Private,2371829.969,17028.43816,43.55086211,1375
1380,Wave,822.0043656,79894.91295,427976.9917,4602.426845,88.47169551,Fully Integrated,354495467.6,Public-Private Partnership,18524108.65,2568.87726,64.83992531,1649
1381,Wind,768.0731086,220528.5447,398838.8614,4484.660088,74.52327408,Partially Integrated,32291419.44,Government,3754284.905,44837.4464,98.19903216,228
1382,Tidal,431.074839,185124.2203,72322.18895,3942.427559,72.21314045,Minimal Integration,103178073.8,Public-Private Partnership,7706390.061,27166.27573,98.59082114,3551
1383,Geothermal,825.3711349,73675.79078,390248.3991,7319.024849,98.46997357,Isolated Microgrid,356536516.2,Private,12614784.74,45537.52088,34.55674162,1755
1384,Wind,901.500883,388221.3106,104977.1877,4932.95394,63.64735589,Fully Integrated,110904514.4,Government,17092373.78,22660.29997,46.58988853,4855
1385,Tidal,275.6465378,104398.4293,377938.4941,5610.374391,88.92037667,Isolated Microgrid,204281583.6,Government,3037756.866,4325.304551,39.71796316,2725
1386,Wave,199.6295708,319781.9426,120548.8342,3091.03023,93.78496307,Fully Integrated,125290342.6,Private,12510892.58,11356.91252,30.93038886,4794
1387,Hydroelectric,176.2921163,374292.6992,153410.5837,8660.690752,89.85851741,Fully Integrated,327234178.3,Private,2869860.124,3986.760738,98.3055142,469
1388,Wind,623.7298988,208340.9869,24004.04972,196.2036858,53.42136314,Isolated Microgrid,262956163.5,Public-Private Partnership,14471524.23,41201.99858,62.06376197,1061
1389,Geothermal,685.9092075,304779.1854,397267.1632,9435.792253,96.22820475,Isolated Microgrid,349161593.1,Private,9082511.203,49910.24772,7.035990997,485
1390,Wind,965.5281308,230923.0585,247237.955,4880.214502,74.03682518,Isolated Microgrid,399030551.8,Public-Private Partnership,14616249.33,23054.63624,83.6363257,3361
1391,Solar,832.0369949,248370.665,416013.9068,9566.298291,70.99853935,Minimal Integration,117712223.9,Private,4224867.29,28830.17118,93.63233158,1351
1392,Biomass,948.040927,359736.1079,333594.6065,2077.239476,78.40132389,Fully Integrated,233341400.7,Private,15472949.28,33486.70974,31.842806,2738
1393,Biomass,565.6070841,398448.4122,100796.4736,8331.433877,79.13156605,Fully Integrated,345959771.8,Government,18684764.44,45946.3643,67.43835555,4200
1394,Geothermal,377.2293394,39239.11535,305971.3036,9656.151109,98.8744544,Partially Integrated,457889446.8,Government,14602599.81,47859.65873,2.574521664,3369
1395,Wave,336.6929282,430376.7413,41648.91915,5130.510575,76.07650089,Minimal Integration,174055291.7,Government,373267.5202,12846.16341,82.39687463,1272
1396,Tidal,253.0797111,301705.2902,321406.8827,6508.053533,74.32408042,Partially Integrated,199490382.0,Public-Private Partnership,10907519.43,14140.34107,40.06586769,1512
1397,Wave,836.2835785,164040.515,368343.5608,5883.294534,95.69199312,Fully Integrated,376464336.1,Government,7419870.289,31347.73815,40.09681753,1126
1398,Wind,819.5221658,108465.2162,60910.95394,755.9277391,83.3973495,Minimal Integration,443519276.2,Private,6736691.215,38809.37548,71.12290353,856
1399,Biomass,824.8833428,54946.53863,60421.04413,6626.100785,87.47763306,Isolated Microgrid,263596403.6,Private,16775458.42,889.4247701,62.54015458,3942
1400,Tidal,792.3037134,420728.3961,14276.97872,5766.354123,88.99277593,Minimal Integration,310120955.3,Government,14857463.82,45354.15018,77.67867185,3297
1401,Hydroelectric,420.4562446,357421.2501,212936.9619,1981.562443,71.07056535,Isolated Microgrid,473010239.7,Government,6446532.911,29120.24043,2.458372221,4850
1402,Geothermal,501.3048369,281910.7978,139313.36,9484.539556,57.88271339,Fully Integrated,373385605.6,Government,6484057.691,39388.00567,3.60318577,842
1403,Wind,879.5806473,18784.59355,398021.2565,4809.018368,56.07379571,Minimal Integration,365358300.3,Private,16914133.99,17815.37757,5.494347149,2063
1404,Tidal,372.6137004,122118.8039,278355.7319,2129.352315,65.29316121,Minimal Integration,308890259.4,Government,7502142.254,12806.09723,89.99996164,2220
1405,Solar,639.6538401,76022.69012,148997.0027,9582.574085,82.67194222,Fully Integrated,264520398.5,Public-Private Partnership,16559423.51,22022.26016,2.265998523,106
1406,Hydroelectric,691.2987627,174492.4285,170566.5549,6630.412913,74.10893472,Minimal Integration,177536750.3,Public-Private Partnership,7559277.182,31361.5335,26.23786181,1069
1407,Geothermal,944.7676107,175674.1508,328436.508,2827.664573,87.23808923,Isolated Microgrid,121118363.2,Government,17439826.38,40193.0985,76.53858962,3427
1408,Hydroelectric,2.884848707,469894.9676,404848.5966,50.654544,52.63955756,Partially Integrated,292810284.1,Public-Private Partnership,11298173.34,40767.52677,26.70934756,760
1409,Wave,173.7949203,338332.8459,392389.4244,9809.352333,53.11775938,Isolated Microgrid,289671812.4,Government,16700889.22,32161.63587,41.94824704,4207
1410,Biomass,275.2325078,222664.7842,40842.89934,4936.292664,66.90506627,Isolated Microgrid,173437367.6,Government,6310516.538,12793.91662,87.3026611,1511
1411,Tidal,138.0448301,347927.8128,194679.8837,9980.52696,99.57689838,Isolated Microgrid,158347735.4,Government,17229847.59,27917.02978,96.15733095,701
1412,Hydroelectric,272.7982089,7816.263788,159407.0295,5953.030145,90.68065975,Fully Integrated,376977401.0,Government,11350829.28,12742.97114,2.884349603,3824
1413,Biomass,274.4340188,166063.9574,248186.0878,6718.909782,65.15560343,Minimal Integration,225539082.1,Public-Private Partnership,6270193.208,12561.05519,27.27030433,3885
1414,Wave,110.9871763,124713.3849,45587.25272,2756.927737,84.19760099,Minimal Integration,389800724.6,Government,14006207.7,1681.518948,82.93455179,2717
1415,Hydroelectric,425.644933,108130.9942,192074.4859,9735.655742,74.57660639,Partially Integrated,411308480.9,Public-Private Partnership,10094570.12,29384.74692,89.58256999,1692
1416,Wave,14.96908125,263026.4801,418152.3643,2814.870114,74.72524782,Partially Integrated,199286561.7,Public-Private Partnership,4766469.676,36766.08947,70.2312153,1040
1417,Biomass,80.49439108,284178.987,228239.877,6775.591461,66.38741777,Partially Integrated,368213921.4,Private,5113758.292,47371.14945,85.63988608,780
1418,Tidal,888.9930125,303843.4664,2110.815937,6748.438669,62.63397159,Partially Integrated,407499144.1,Private,9890501.533,21609.99527,37.78077419,3625
1419,Geothermal,511.2150069,367752.5712,85328.13798,4439.913378,77.01755827,Partially Integrated,377952689.3,Government,15809143.2,37658.70144,26.02737212,3895
1420,Wave,657.221978,294788.3476,137303.3672,3917.009294,86.90681879,Partially Integrated,241544968.9,Private,5362918.087,43031.75182,8.698940129,2610
1421,Tidal,222.9422438,38778.03679,256714.614,5422.858311,94.34466727,Isolated Microgrid,396429804.5,Public-Private Partnership,2052367.478,30119.95448,17.90627134,1962
1422,Hydroelectric,796.4602122,367780.2894,247420.7008,4220.716552,66.22273582,Minimal Integration,122453485.7,Public-Private Partnership,10518949.25,26240.82788,36.88384377,2063
1423,Biomass,244.0921147,459074.2276,241409.4052,1681.096588,74.70399242,Isolated Microgrid,355293729.7,Public-Private Partnership,11131296.25,6906.032928,3.171966598,1613
1424,Biomass,463.9380702,177440.8721,72693.86261,4641.458114,62.46653412,Minimal Integration,43154456.24,Public-Private Partnership,6490682.059,7740.188081,70.40788889,2169
1425,Biomass,21.60386127,206468.3086,235261.0829,7945.796128,52.6418659,Fully Integrated,382016852.9,Private,16514807.08,5797.333804,95.83494903,4153
1426,Wave,735.127651,161856.1141,236065.0337,5907.422405,52.42045293,Partially Integrated,107848046.7,Public-Private Partnership,6443387.34,32018.68944,81.02233276,2294
1427,Solar,992.9127251,348477.7779,277127.787,8215.275828,55.57225512,Partially Integrated,405804252.2,Government,15601429.29,3218.612801,74.65721835,2791
1428,Biomass,663.6945282,126934.9473,352482.4005,3589.482004,81.55452028,Isolated Microgrid,114296263.8,Public-Private Partnership,720414.5656,6355.28718,94.14960259,2352
1429,Solar,873.8078791,249375.5049,139339.7762,6606.988757,69.26116789,Partially Integrated,64121280.1,Private,17855338.32,31544.1344,44.90936534,1002
1430,Tidal,165.0639728,76335.75248,332792.4954,5903.77007,54.8527638,Fully Integrated,282825606.2,Public-Private Partnership,6155837.537,19203.38503,70.85789406,4527
1431,Tidal,880.3346568,32090.29593,100608.1903,1839.695661,99.20327519,Fully Integrated,98031193.91,Public-Private Partnership,13750140.56,2874.74918,30.77995596,3526
1432,Geothermal,291.4262079,31309.32396,36480.50509,4375.432505,61.74361393,Isolated Microgrid,445779276.6,Private,4830788.975,3116.97159,54.4090102,2403
1433,Wind,936.4507503,154111.3321,38719.66484,7744.224444,63.99767514,Isolated Microgrid,340417350.2,Government,3726115.185,39637.00243,23.14593691,3283
1434,Wind,862.2304401,246113.3135,64589.48,847.6062513,89.18491349,Fully Integrated,134726714.8,Private,6070974.017,39806.70338,28.68033704,2080
1435,Geothermal,312.3643726,32793.81784,213405.4132,3914.519819,87.22347417,Fully Integrated,130805037.2,Public-Private Partnership,12591505.94,27467.34157,29.23381181,4235
1436,Wind,303.3885951,206790.8651,431221.8219,2723.765612,50.37351871,Minimal Integration,125465118.0,Public-Private Partnership,13827342.73,5124.667272,62.82510021,850
1437,Geothermal,667.8744215,183700.8888,208852.0949,6746.649547,66.8560721,Minimal Integration,204038865.0,Government,14185773.87,36529.21975,38.10499184,4574
1438,Hydroelectric,893.1278791,310196.4271,361605.4479,567.6044934,80.65075207,Minimal Integration,437734536.2,Government,2453074.033,15238.8189,37.49931879,4527
1439,Geothermal,499.5263693,27528.497,100793.3907,7361.265603,99.67231863,Partially Integrated,198818427.1,Private,6737021.669,47583.56939,96.01187769,1811
1440,Wind,692.2679876,441430.4234,380699.5282,2436.632679,53.07165746,Fully Integrated,179463374.7,Private,17650412.85,29672.7604,86.14676856,123
1441,Wave,745.6143896,122429.8379,394027.4216,2171.901151,73.6372054,Isolated Microgrid,90209817.66,Public-Private Partnership,8704102.684,1285.481409,26.46549072,3940
1442,Wind,129.4898933,427871.4659,266648.4368,1966.041966,94.79931987,Partially Integrated,170319509.0,Private,17425333.16,45456.05068,73.28270556,208
1443,Hydroelectric,502.5036554,264624.0799,312428.88,3707.467842,60.91821831,Partially Integrated,237002231.9,Private,11870806.79,3080.926729,22.41145239,1388
1444,Biomass,627.6225643,390132.8216,357196.6193,6526.412766,96.00145124,Isolated Microgrid,132003540.4,Government,9130552.691,32635.18,80.10528857,4474
1445,Biomass,850.3195726,29167.07629,318897.0248,1265.030467,96.40182353,Isolated Microgrid,40540574.38,Private,16563550.47,25640.86123,81.40437641,4068
1446,Biomass,884.6081239,145064.2824,39436.59351,4058.497137,74.53755657,Isolated Microgrid,432300570.0,Government,5837661.397,41349.30919,72.37757182,1714
1447,Wave,405.0348389,390523.7897,208926.1423,2695.238271,98.87729581,Minimal Integration,328923018.7,Government,16839242.76,29507.82788,27.18629795,2556
1448,Hydroelectric,35.55773571,287670.2063,315875.7079,8554.048178,67.49883453,Partially Integrated,174894597.7,Government,10620274.71,15270.34377,18.50890312,534
1449,Solar,738.5213376,482651.8799,389447.2864,2194.005719,55.94792851,Isolated Microgrid,452777583.5,Government,3688324.583,24859.99088,4.933154871,1791
1450,Tidal,388.5012419,188878.6486,354770.5814,916.8267796,97.14213668,Isolated Microgrid,212065723.5,Public-Private Partnership,13133963.13,1994.275943,83.49124427,2056
1451,Wind,922.6841593,240886.7974,258382.5124,6985.398551,61.6336382,Partially Integrated,394198160.0,Public-Private Partnership,8058846.851,38466.3306,7.617810581,2049
1452,Geothermal,238.0182535,387843.5633,136522.9437,18.69470518,93.06416239,Isolated Microgrid,399240960.1,Public-Private Partnership,2295828.487,10217.48763,87.27953174,4959
1453,Hydroelectric,727.3199253,154219.8932,115152.5516,3407.786709,52.15250085,Isolated Microgrid,27236489.85,Government,8039969.873,38037.98437,81.14393731,4330
1454,Tidal,447.2690378,362036.1056,121293.3483,5796.286593,70.15891434,Partially Integrated,27860868.39,Public-Private Partnership,3639807.328,35914.4746,96.24272697,2519
1455,Wind,663.4671992,478594.3269,365263.3972,7404.846861,98.74383159,Isolated Microgrid,125709481.9,Government,1219706.814,35776.93828,51.32804801,3805
1456,Wave,165.3123941,175083.4678,357047.7628,7541.869465,52.40996468,Isolated Microgrid,192392805.1,Government,3372165.477,36266.26469,44.68777311,747
1457,Solar,923.7723213,216960.6311,275803.4839,5156.871425,80.54172257,Isolated Microgrid,350278506.8,Public-Private Partnership,17890637.33,4063.719402,27.76891205,1547
1458,Hydroelectric,188.9284467,222340.1435,48749.18831,1678.329381,84.65895563,Fully Integrated,418239772.9,Private,9523014.839,21938.20576,79.78610144,3260
1459,Tidal,404.3226627,156238.0698,195849.6872,1093.241057,86.65253633,Isolated Microgrid,14915252.22,Government,5410005.745,32261.03563,39.52971063,111
1460,Biomass,696.6418186,56326.34755,222706.3313,4999.875301,63.21529152,Isolated Microgrid,369503839.5,Private,18283372.25,24463.31472,89.44339585,2942
1461,Biomass,489.0079151,450710.603,248857.9303,1735.50442,93.70873055,Isolated Microgrid,171525541.1,Government,7247132.956,37983.58967,13.90127582,3661
1462,Wave,774.7051453,24446.27713,77210.57818,7844.837312,79.0354073,Minimal Integration,327667039.0,Government,14452212.87,39833.92903,40.16822246,3531
1463,Hydroelectric,493.0950948,233115.7115,37635.09281,9348.168299,78.46714646,Minimal Integration,438002437.8,Private,11555945.7,39177.74014,57.201674,331
1464,Geothermal,702.7108358,128405.0364,201845.0598,480.0904013,96.52522554,Fully Integrated,160620933.0,Government,17903991.7,35076.70881,51.8457077,2550
1465,Geothermal,119.5966086,401023.924,358320.9769,6006.484938,73.50556211,Isolated Microgrid,18279260.79,Public-Private Partnership,12146098.02,29796.8081,16.2725162,2739
1466,Solar,583.1207227,319609.1205,171853.852,6806.191644,68.80075653,Partially Integrated,476231510.3,Public-Private Partnership,16131165.19,42891.7304,5.235665074,2379
1467,Solar,963.1409408,331177.5258,302881.1192,2266.566979,64.27376932,Isolated Microgrid,474143052.2,Private,9148965.127,15041.53297,36.8445341,1999
1468,Solar,394.8998281,264274.7735,44622.74611,534.6617855,87.47941547,Fully Integrated,24203406.66,Private,19192723.48,24205.21336,77.76585165,4560
1469,Geothermal,474.8586128,416645.5887,163559.8967,8459.752879,75.08304934,Partially Integrated,103061416.0,Public-Private Partnership,4424271.157,35016.13828,80.57155435,4840
1470,Solar,554.8361409,87835.01294,49330.00716,1104.855181,92.4292326,Partially Integrated,228693293.5,Government,832105.6166,41059.31354,42.91842168,148
1471,Solar,120.8392148,386770.9732,315331.3518,9441.706607,59.09711712,Minimal Integration,9260231.823,Government,19122719.42,29326.05457,69.6864282,1556
1472,Wave,254.7994358,174065.2878,375912.4044,9891.560523,75.09168333,Fully Integrated,356159912.3,Government,8083115.722,32705.12008,77.98879742,2333
1473,Wave,526.9249341,453288.5546,199387.2927,5745.50104,53.60276016,Fully Integrated,224624578.2,Public-Private Partnership,1485027.55,14686.47848,84.72408092,4974
1474,Wind,16.38040483,373839.0941,444787.8799,3544.951132,75.14647626,Minimal Integration,65691059.97,Private,7351364.148,12970.66274,36.25119055,27
1475,Geothermal,529.377632,157346.1231,205128.7737,782.6065281,77.55283642,Partially Integrated,93913715.72,Private,3070929.764,22592.76066,1.36661046,767
1476,Geothermal,211.9129329,30720.9029,443963.7544,1317.168638,82.83390991,Isolated Microgrid,122334498.8,Private,11940535.57,37726.93503,22.57206951,4753
1477,Geothermal,830.7739656,76521.70219,402393.273,5135.473979,56.52208292,Isolated Microgrid,200263445.1,Private,1799703.956,187.585602,70.79384029,734
1478,Biomass,184.7392983,371196.035,284769.3991,8488.448483,55.89362682,Isolated Microgrid,301212169.5,Public-Private Partnership,11800162.31,44315.21186,98.88475919,98
1479,Hydroelectric,52.36863237,452884.6422,235750.2097,7208.021956,89.80130854,Isolated Microgrid,426706568.2,Public-Private Partnership,12210782.23,1641.795244,72.5409061,4993
1480,Hydroelectric,722.777994,267470.914,291930.8174,7518.597313,69.06876509,Minimal Integration,78377894.02,Private,16650747.63,35484.51398,23.83053488,849
1481,Geothermal,906.2712623,293476.6423,79132.61026,9643.496701,64.93164376,Isolated Microgrid,445768850.4,Private,4340043.346,9981.057977,65.40208527,2928
1482,Tidal,660.6760574,462212.4085,14764.68485,8506.841326,70.30332223,Isolated Microgrid,156455556.5,Private,8980524.658,46810.48795,42.08163314,2221
1483,Geothermal,287.1512567,248235.9747,109416.742,1376.274293,81.05712829,Fully Integrated,450387651.3,Public-Private Partnership,12959069.17,32068.78643,51.6394601,1764
1484,Tidal,471.4650422,266237.1039,253409.1776,6121.15844,93.71977032,Isolated Microgrid,263227920.6,Public-Private Partnership,4868967.069,26284.7987,82.5828497,97
1485,Geothermal,100.9549191,69905.62782,289472.787,4896.042134,85.18259475,Minimal Integration,211783479.8,Private,10468081.2,5229.504573,33.33233358,73
1486,Biomass,758.9906909,153796.1191,136811.191,7081.690735,91.48544961,Fully Integrated,161314199.7,Public-Private Partnership,17556907.52,9109.161232,63.52407362,2585
1487,Hydroelectric,279.3633196,256979.4677,170975.6699,9728.149545,82.47998794,Partially Integrated,84739198.07,Public-Private Partnership,14544712.9,9837.871942,5.156774255,126
1488,Biomass,63.13352961,50226.83142,250649.1493,3659.064379,74.32589349,Minimal Integration,168857277.3,Government,1781153.075,32703.93721,87.5519292,3523
1489,Solar,309.5190789,320279.708,77111.08003,8735.653937,99.23706942,Isolated Microgrid,93079078.66,Private,18697916.69,16303.41947,43.87393048,4863
1490,Geothermal,478.9461794,134127.5718,429645.7449,3754.150433,53.36508404,Isolated Microgrid,425726267.7,Public-Private Partnership,8997381.855,3720.316645,65.84786698,2934
1491,Geothermal,616.0436726,7153.913782,271983.9317,6405.254772,65.60013917,Partially Integrated,56405120.29,Private,11587279.66,20905.47775,75.67985446,4747
1492,Biomass,885.4321425,138216.9414,147428.2197,6391.198715,72.65317463,Fully Integrated,336278948.6,Public-Private Partnership,14897089.05,36463.11126,50.83031684,831
1493,Tidal,240.9865837,150777.7272,356994.9999,3121.862354,92.65999158,Partially Integrated,163434416.3,Private,11874331.53,34572.89897,29.75357797,3555
1494,Wave,584.286985,174428.1225,415595.6959,1357.818441,57.33663986,Isolated Microgrid,468723329.9,Private,4985888.845,43480.9571,17.45344513,4068
1495,Hydroelectric,326.3463263,413285.9541,62887.84332,9711.307459,87.6989082,Fully Integrated,468096044.3,Private,13421076.72,8109.175823,79.17548086,42
1496,Biomass,52.0960626,139395.7162,418474.8705,9517.487131,69.56165576,Isolated Microgrid,299924394.2,Private,4230224.033,30472.30042,4.669913176,2367
1497,Solar,809.1814314,411310.0231,279013.9707,5485.764322,92.35279032,Partially Integrated,17082347.68,Public-Private Partnership,14168515.86,46773.18967,18.97987317,1361
1498,Biomass,805.8403803,178373.7459,136744.865,965.093599,79.26391705,Partially Integrated,394767018.4,Public-Private Partnership,19126617.87,31261.16209,99.24674502,1968
1499,Solar,931.5934119,144445.3313,231405.6062,1199.339891,98.10194548,Isolated Microgrid,416431203.7,Private,682463.7056,23339.30265,58.80823542,1283
1500,Tidal,622.5731227,119581.1317,58761.70338,8377.116681,67.49245063,Partially Integrated,268326728.0,Public-Private Partnership,18548459.58,49704.5918,69.23558166,2519
1501,Hydroelectric,163.3477518,313239.2439,53657.96089,2642.195164,77.97259884,Fully Integrated,101631359.5,Government,15355902.64,39766.39251,62.70787369,1926
1502,Biomass,735.1189236,362966.2016,80036.28751,4940.834409,74.79247607,Isolated Microgrid,287787680.9,Public-Private Partnership,2452397.598,19185.20136,33.74527383,3450
1503,Solar,821.4078742,252630.9512,224931.96,9713.69058,59.53814313,Partially Integrated,453360574.8,Private,13129709.35,22505.14346,90.65495034,2543
1504,Wave,653.226494,186446.0454,441850.3893,6754.321128,69.95680335,Fully Integrated,126020737.3,Government,6830046.001,26150.95684,56.59633426,330
1505,Wind,462.7664318,345838.947,21424.74095,6231.168427,98.34314557,Isolated Microgrid,319757937.0,Public-Private Partnership,646548.3891,34438.91048,19.02426734,3810
1506,Wind,54.42469669,145690.7628,143316.5645,456.0591686,95.33485486,Fully Integrated,52819921.63,Private,4894245.369,14182.81291,8.840465186,1303
1507,Wave,469.4874546,371867.8636,34750.6738,3461.597036,81.1324989,Isolated Microgrid,204496923.7,Government,8082475.181,21072.67797,35.52532176,4692
1508,Wind,766.7040034,39912.71195,185078.9229,9237.309347,55.73375767,Partially Integrated,104965898.5,Private,13278724.33,28936.39021,38.58275298,3176
1509,Tidal,805.6081801,139164.8122,73917.12383,2780.310483,55.89536307,Fully Integrated,220050554.9,Public-Private Partnership,3653939.636,9897.687613,67.94948103,4031
1510,Wind,763.3187725,451105.1734,291048.0103,1807.192244,94.84746924,Partially Integrated,435033978.8,Government,5985896.604,12755.82079,11.66661167,2601
1511,Wind,145.8711713,78352.29893,5366.28746,8896.795803,62.13003976,Isolated Microgrid,259649168.4,Government,19531460.0,16633.62759,54.25075415,2634
1512,Wind,576.7507662,182048.3261,101004.2152,8928.593042,90.7847255,Minimal Integration,194921725.1,Private,19994472.73,48855.93987,40.50999646,2629
1513,Wave,729.7305178,447831.7253,139719.3317,2289.162729,75.89558673,Fully Integrated,313266507.6,Private,16341966.96,15051.09409,83.95252802,618
